PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Fantasy_Points,Fantasy_Points_Per36
Aaron Gordon,DEN,1,38.7,50.0,17.0,21.0,0.81,10.0,11.0,0.909,6.0,6.0,1.0,0.0,8.0,8.0,2.0,0.0,1.0,2.0,1.0,85.0,79.07
Luka Dončić,LAL,1,41.0,43.0,17.0,27.0,0.63,2.0,10.0,0.2,7.0,10.0,0.7,0.0,12.0,12.0,9.0,2.0,1.0,3.0,1.0,85.0,74.63
Victor Wembanyama,SAS,1,29.7,40.0,15.0,21.0,0.714,1.0,2.0,0.5,9.0,11.0,0.818,1.0,14.0,15.0,1.0,1.0,3.0,0.0,4.0,81.0,98.18
Tyrese Maxey,PHI,1,41.4,40.0,13.0,24.0,0.542,7.0,9.0,0.778,7.0,8.0,0.875,0.0,2.0,2.0,6.0,2.0,1.0,1.0,5.0,72.0,62.61
Alperen Sengun,HOU,1,48.9,39.0,12.0,24.0,0.5,5.0,8.0,0.625,10.0,11.0,0.909,4.0,7.0,11.0,7.0,2.0,1.0,4.0,5.0,72.0,53.01
Walker Kessler,UTA,1,28.7,22.0,7.0,7.0,1.0,2.0,2.0,1.0,6.0,8.0,0.75,2.0,7.0,9.0,4.0,2.0,4.0,1.0,5.0,68.0,85.3
Shai Gilgeous-Alexander,OKC,2,46.3,45.0,13.5,28.5,0.474,1.5,8.0,0.188,16.5,20.0,0.825,0.0,6.5,6.5,5.0,2.0,1.5,2.5,3.0,67.0,52.1
DeMar DeRozan,SAC,1,37.4,29.0,12.0,17.0,0.706,1.0,2.0,0.5,4.0,9.0,0.444,2.0,4.0,6.0,9.0,2.0,1.0,1.0,2.0,66.0,63.53
Stephen Curry,GSW,2,34.5,32.5,10.0,19.5,0.513,4.5,10.5,0.429,8.0,8.0,1.0,0.0,3.5,3.5,5.5,3.0,1.0,2.0,2.0,64.0,66.78
Giannis Antetokounmpo,MIL,1,26.8,37.0,16.0,26.0,0.615,1.0,3.0,0.333,4.0,7.0,0.571,2.0,12.0,14.0,5.0,0.0,0.0,2.0,4.0,61.0,81.94
Scottie Barnes,TOR,1,31.9,22.0,9.0,14.0,0.643,0.0,0.0,0.0,4.0,4.0,1.0,0.0,6.0,6.0,9.0,1.0,2.0,1.0,4.0,60.0,67.71
Jamal Murray,DEN,1,40.0,25.0,11.0,20.0,0.55,1.0,4.0,0.25,2.0,2.0,1.0,1.0,2.0,3.0,10.0,3.0,0.0,3.0,2.0,57.0,51.3
Davion Mitchell,MIA,1,34.8,16.0,7.0,15.0,0.467,2.0,6.0,0.333,0.0,0.0,0.0,2.0,4.0,6.0,12.0,2.0,1.0,1.0,4.0,57.0,58.97
Nikola Vučević,CHI,1,32.6,28.0,11.0,18.0,0.611,4.0,6.0,0.667,2.0,2.0,1.0,4.0,10.0,14.0,2.0,1.0,0.0,1.0,2.0,56.0,61.84
Mikal Bridges,NYK,1,33.2,16.0,6.0,11.0,0.545,1.0,3.0,0.333,3.0,3.0,1.0,1.0,4.0,5.0,6.0,3.0,2.0,0.0,3.0,55.0,59.64
Isaiah Stewart,DET,1,24.9,20.0,8.0,14.0,0.571,2.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,10.0,2.0,0.0,4.0,0.0,3.0,54.0,78.07
Zion Williamson,NOP,1,33.5,27.0,10.0,21.0,0.476,0.0,0.0,0.0,7.0,12.0,0.583,5.0,4.0,9.0,5.0,5.0,0.0,3.0,2.0,54.0,58.03
OG Anunoby,NYK,1,37.5,24.0,9.0,17.0,0.529,4.0,9.0,0.444,2.0,4.0,0.5,2.0,12.0,14.0,2.0,3.0,1.0,4.0,0.0,53.0,50.88
Pascal Siakam,IND,1,44.1,32.0,12.0,25.0,0.48,3.0,6.0,0.5,5.0,12.0,0.417,3.0,12.0,15.0,4.0,1.0,0.0,1.0,1.0,52.0,42.45
