Rk,Player,Type,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,-9999,Fantasy_Points
255,Nikola Jokić,Projected,10.6,18.4,1.6,4.0,4.9,6.0,2.8,12.3,9.6,1.6,0.7,3.2,2.4,27.7,0.578,0.397,0.806,jokicni01,65.3
537,Victor Wembanyama,Projected,9.6,19.8,2.9,8.1,4.2,5.2,2.3,12.3,4.3,1.4,4.1,3.7,2.5,26.2,0.483,0.355,0.822,wembavi01,63.0
173,Shai Gilgeous-Alexander,Projected,11.4,21.8,1.9,5.0,8.2,9.2,1.0,5.5,6.5,1.9,1.0,2.5,2.4,32.9,0.524,0.37,0.891,gilgesh01,59.9
12,Giannis Antetokounmpo,Projected,11.9,20.1,0.4,1.6,6.9,10.9,2.4,12.0,6.6,1.0,1.1,3.4,2.7,31.2,0.593,0.266,0.632,antetgi01,58.099999999999994
128,Luka Dončić,Projected,10.1,21.3,3.6,9.5,6.4,8.2,0.9,8.5,8.3,1.6,0.5,3.6,2.4,30.1,0.474,0.374,0.781,doncilu01,57.10000000000001
148,Joel Embiid,Projected,10.4,20.7,1.4,4.2,9.5,10.9,2.2,10.3,5.2,1.1,1.5,3.8,3.0,31.7,0.501,0.34,0.872,embiijo01,55.3
116,Anthony Davis,Projected,9.5,18.0,0.6,2.2,5.7,7.2,3.0,12.3,3.6,1.2,2.2,2.3,2.3,25.4,0.529,0.284,0.788,davisan02,54.0
191,Tyrese Haliburton,Projected,7.4,15.4,3.2,8.2,2.9,3.4,0.7,4.1,10.5,1.5,0.7,2.0,1.4,21.0,0.482,0.387,0.854,halibty01,53.0
559,Zion Williamson,Projected,10.8,18.8,0.3,0.8,5.9,8.6,2.5,7.7,6.0,1.4,0.9,3.3,2.9,27.8,0.572,0.33,0.69,willizi01,50.5
241,LeBron James,Projected,9.4,18.6,2.1,5.8,3.9,5.1,1.0,7.6,8.0,1.1,0.6,3.7,1.5,24.8,0.505,0.368,0.761,jamesle01,48.900000000000006
20,LaMelo Ball,Projected,9.4,22.4,4.0,11.5,4.4,5.1,1.2,5.8,8.2,1.4,0.3,3.8,3.6,27.2,0.42,0.353,0.847,ballla01,48.3
109,Cade Cunningham,Projected,9.7,20.7,2.2,6.0,4.4,5.2,0.8,5.9,8.8,1.0,0.7,4.1,2.8,26.0,0.471,0.362,0.853,cunnica01,48.2
164,Daniel Gafford,Projected,7.5,10.8,0.1,0.3,3.2,4.6,4.0,10.9,2.4,0.9,2.8,1.8,4.3,18.4,0.695,0.361,0.691,gaffoda01,48.2
215,Chet Holmgren,Projected,7.3,14.1,1.9,5.0,3.6,4.6,2.0,10.0,3.0,0.9,2.8,2.1,2.9,20.2,0.52,0.382,0.781,holmgch01,48.2
441,Domantas Sabonis,Projected,7.7,13.1,0.8,1.9,3.4,4.7,3.7,13.7,6.9,0.8,0.5,3.1,3.3,19.6,0.588,0.402,0.735,sabondo01,47.900000000000006
485,Jayson Tatum,Projected,9.1,19.7,3.3,9.2,5.3,6.4,0.8,8.4,5.4,1.0,0.6,2.7,2.1,26.7,0.461,0.355,0.825,tatumja01,47.599999999999994
554,Mark Williams,Projected,7.9,13.1,0.2,0.6,3.7,4.8,4.1,13.1,3.0,1.1,1.6,2.0,3.2,19.8,0.606,0.32,0.787,willima07,47.5
450,Alperen Şengün,Projected,8.7,16.7,0.5,1.6,4.3,6.1,3.7,11.4,5.5,1.3,0.9,2.8,3.3,22.2,0.52,0.285,0.704,sengual01,47.2
351,Evan Mobley,Projected,8.0,14.2,1.1,3.0,3.4,4.7,2.7,10.7,3.7,1.0,1.8,2.2,2.6,20.6,0.566,0.368,0.726,mobleev01,47.1
358,Ja Morant,Projected,9.5,20.5,2.0,6.4,6.1,7.5,0.9,5.3,8.4,1.4,0.3,4.0,2.5,27.0,0.462,0.313,0.811,moranja01,47.0
350,Donovan Mitchell,Projected,9.3,20.6,3.6,9.6,4.8,5.7,0.9,5.1,5.6,1.6,0.4,2.5,2.3,26.9,0.452,0.369,0.837,mitchdo01,46.9
404,Kristaps Porziņģis,Projected,8.1,16.5,2.6,6.7,5.0,6.1,2.0,8.5,2.7,0.9,1.9,1.8,3.4,24.0,0.493,0.393,0.831,porzikr01,46.699999999999996
111,Stephen Curry,Projected,9.0,20.4,4.9,12.4,4.3,4.7,0.6,5.0,6.1,1.1,0.5,3.2,1.7,27.3,0.444,0.393,0.921,curryst01,46.60000000000001
236,Jaren Jackson Jr.,Projected,9.2,19.2,2.2,6.2,5.2,6.5,1.5,6.8,2.5,1.4,2.0,2.5,4.1,25.8,0.48,0.361,0.793,jacksja02,46.3
325,T.J. McConnell,Projected,8.1,15.5,0.5,1.5,1.5,1.9,1.1,5.1,9.1,2.0,0.4,2.9,2.2,18.2,0.524,0.347,0.763,mccontj01,46.099999999999994
566,Trae Young,Projected,7.7,18.2,2.9,8.2,6.5,7.4,0.5,3.2,11.0,1.2,0.2,4.4,1.9,24.7,0.421,0.35,0.871,youngtr01,45.900000000000006
235,Isaiah Jackson,Projected,6.8,11.3,0.4,1.3,3.2,4.7,3.8,10.1,2.6,1.4,2.6,1.9,5.3,17.2,0.6,0.328,0.688,jacksis01,45.9
