PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,MIN,PTS,REB,AST,STL,BLK,TOV,PF,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,PLUS_MINUS,Fantasy Points per 36
1631260,AJ Green,1610612749,MIL,26.0,5,4,1,28.1,11.8,2.4,0.6,0.4,0.0,1.2,3.2,3.8,6.4,0.594,3.2,5.8,0.552,1.0,1.4,0.714,0.0,2.4,7.4,23.8
1642358,AJ Johnson,1610612764,WAS,20.0,3,0,3,3.2,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-0.3,2.2
203932,Aaron Gordon,1610612743,DEN,30.0,4,3,1,29.8,21.3,5.5,2.3,0.8,0.3,1.5,1.5,6.8,11.8,0.574,3.0,5.8,0.522,4.8,4.8,1.0,0.3,5.3,10.8,45.4
1628988,Aaron Holiday,1610612745,HOU,29.0,1,1,0,7.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,-1.0,35.0
1630174,Aaron Nesmith,1610612754,IND,26.0,4,0,4,32.5,10.8,4.8,1.0,0.0,0.5,0.5,2.8,3.8,12.8,0.294,2.8,7.5,0.367,0.5,1.8,0.286,1.5,3.3,-2.8,16.5
1630598,Aaron Wiggins,1610612760,OKC,26.0,6,6,0,28.0,13.2,4.7,2.5,0.2,1.0,1.5,1.8,5.0,11.8,0.423,2.2,6.7,0.325,1.0,1.3,0.75,1.3,3.3,5.5,31.8
1642846,Ace Bailey,1610612762,UTA,19.0,4,2,2,15.6,4.0,2.5,1.5,0.0,0.3,0.5,1.3,1.5,6.0,0.25,0.5,2.3,0.222,0.5,0.5,1.0,1.0,1.5,-10.8,16.6
1641737,Adem Bona,1610612755,PHI,22.0,4,4,0,17.2,2.5,3.0,0.8,0.3,2.3,0.8,1.5,0.8,1.8,0.429,0.0,0.0,0.0,1.0,1.8,0.571,1.5,1.5,6.0,31.1
1642349,Ajay Mitchell,1610612760,OKC,23.0,6,6,0,27.2,18.5,3.3,2.8,1.3,0.2,1.2,3.0,6.8,14.8,0.461,1.7,5.0,0.333,3.2,3.2,1.0,1.0,2.3,4.5,41.6
201143,Al Horford,1610612744,GSW,39.0,4,3,1,22.5,5.8,3.5,1.3,0.5,0.8,1.8,2.3,2.3,6.3,0.36,1.3,3.8,0.333,0.0,0.0,0.0,1.3,2.3,-9.0,20.9
