Rk,Player,Type,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,-9999
1,Precious Achiuwa,Projected,5.3,10.6,0.6,2.0,1.6,2.5,3.4,10.0,2.0,1.2,1.3,1.6,2.8,12.8,.501,.292,.637,achiupr01
2,Steven Adams,Projected,4.5,8.5,0.3,0.9,1.9,4.1,6.5,13.6,3.1,1.0,1.2,2.4,2.8,11.3,.532,.328,.479,adamsst01
3,Bam Adebayo,Projected,7.5,15.0,0.8,2.2,3.7,4.8,2.4,10.1,4.3,1.3,0.8,2.3,2.3,19.5,.500,.356,.767,adebaba01
4,Ochai Agbaji,Projected,5.1,10.8,1.9,5.2,0.9,1.3,1.4,5.0,2.1,1.1,0.7,1.2,2.6,13.1,.475,.373,.722,agbajoc01
5,Santi Aldama,Projected,6.3,13.3,2.5,6.7,1.5,2.2,1.9,8.5,3.6,1.1,0.8,1.5,1.9,16.7,.475,.367,.696,aldamsa01
6,Trey Alexander,Projected,5.4,13.0,1.6,5.4,1.9,2.4,1.1,5.5,3.8,1.0,0.6,1.8,2.8,14.4,.419,.298,.783,alexatr01
7,Nickeil Alexander-Walker,Projected,4.7,10.7,2.4,6.3,1.5,1.9,0.9,4.3,3.9,1.0,0.7,1.7,2.5,13.4,.443,.385,.778,alexani01
8,Grayson Allen,Projected,5.0,10.8,3.1,7.2,2.0,2.4,0.8,4.5,3.2,1.1,0.5,1.6,2.3,15.1,.464,.431,.840,allengr01
9,Jarrett Allen,Projected,7.2,10.8,0.1,0.3,3.2,4.3,3.4,12.0,2.7,1.1,1.2,1.6,2.1,17.6,.666,.267,.731,allenja01
10,Jose Alvarado,Projected,5.4,13.3,2.8,7.6,1.6,2.0,0.8,4.1,5.9,1.9,0.4,2.0,2.7,15.1,.405,.363,.782,alvarjo01
11,Kyle Anderson,Projected,4.7,10.0,0.7,2.1,1.9,2.6,1.5,6.5,5.8,1.4,1.1,1.7,2.8,11.9,.467,.339,.727,anderky01
12,Giannis Antetokounmpo,Projected,11.9,20.1,0.4,1.6,6.9,10.9,2.4,12.0,6.6,1.0,1.1,3.4,2.7,31.2,.593,.266,.632,antetgi01
13,Cole Anthony,Projected,6.7,15.2,2.1,5.8,3.1,3.8,1.3,6.2,5.2,1.3,0.8,2.6,3.8,18.6,.439,.355,.833,anthoco01
14,OG Anunoby,Projected,6.4,13.3,2.2,5.9,2.2,2.7,1.3,4.8,2.3,1.5,0.8,1.5,2.4,17.2,.478,.375,.803,anunoog01
15,Deni Avdija,Projected,6.5,13.3,1.8,5.0,4.1,5.3,1.7,8.7,4.6,1.1,0.6,2.9,2.9,18.9,.488,.368,.772,avdijde01
16,Deandre Ayton,Projected,8.3,14.5,0.2,0.9,1.5,2.0,3.4,11.8,2.0,1.0,1.0,2.0,2.6,18.3,.567,.253,.743,aytonde01
17,Marcus Bagley,Projected,4.9,11.2,1.2,4.9,1.7,2.2,2.7,8.8,2.5,1.3,1.3,1.4,2.4,12.7,.435,.253,.793,baglema02
18,Marvin Bagley III,Projected,7.7,14.0,0.6,2.1,3.1,4.2,4.1,10.2,2.0,0.9,1.1,1.9,2.7,19.1,.549,.300,.737,baglema01
19,Patrick Baldwin Jr.,Projected,5.6,12.4,2.8,7.1,1.6,2.2,1.4,8.1,2.5,1.2,0.9,1.6,3.2,15.5,.451,.398,.713,baldwpa01
20,LaMelo Ball,Projected,9.4,22.4,4.0,11.5,4.4,5.1,1.2,5.8,8.2,1.4,0.3,3.8,3.6,27.2,.420,.353,.847,ballla01
21,Lonzo Ball,Projected,4.5,11.6,2.9,8.4,1.3,1.6,1.2,5.7,5.1,2.0,0.8,1.9,2.6,13.2,.387,.346,.802,balllo01
22,Mo Bamba,Projected,5.0,10.4,1.5,4.4,1.8,2.6,2.9,11.1,2.2,0.9,2.4,1.8,4.6,13.3,.478,.340,.707,bambamo01
23,Paolo Banchero,Projected,8.7,18.8,1.8,5.2,5.8,7.9,1.2,7.6,5.1,0.9,0.6,3.0,2.1,24.9,.461,.335,.737,banchpa01
24,Desmond Bane,Projected,8.3,17.2,2.9,7.3,3.1,3.5,1.0,6.3,5.8,1.2,0.5,2.7,2.8,22.4,.480,.391,.882,banede01
25,Dalano Banton,Projected,6.6,16.3,2.2,6.9,3.0,4.0,1.2,5.1,4.8,1.3,1.0,2.6,2.1,18.4,.405,.322,.751,bantoda01
26,Dominick Barlow,Projected,5.6,10.8,0.8,2.5,2.3,3.2,3.3,8.5,2.7,1.0,1.3,0.9,4.0,14.3,.520,.317,.696,barlodo01
27,Harrison Barnes,Projected,5.4,11.1,2.3,5.7,2.7,3.4,1.4,4.6,2.0,0.7,0.2,0.9,1.4,15.9,.487,.406,.810,barneha02
28,Scottie Barnes,Projected,7.7,16.7,1.4,4.6,3.6,4.6,2.1,8.3,6.2,1.4,1.2,2.8,2.0,20.5,.463,.305,.770,barnesc01
29,RJ Barrett,Projected,8.6,17.9,2.0,5.6,3.9,5.8,1.1,6.7,5.0,0.8,0.4,2.8,2.6,23.0,.478,.353,.676,barrerj01
30,Charles Bassey,Projected,6.3,10.9,0.5,1.3,1.9,2.8,4.4,12.6,2.7,1.3,2.4,2.3,4.4,15.0,.575,.362,.686,bassech01
31,Emoni Bates,Projected,5.9,14.4,3.0,8.3,1.5,2.0,1.0,5.3,3.8,0.8,0.7,1.8,2.2,16.3,.410,.362,.729,batesem01
32,Jamison Battle,Projected,5.4,12.1,3.5,8.5,0.8,1.0,1.4,5.7,2.2,0.7,0.4,1.1,3.1,15.1,.443,.409,.844,battlja01
33,Nicolas Batum,Projected,3.0,6.9,2.1,5.2,0.6,0.8,1.4,5.8,2.6,1.2,0.9,1.0,2.9,8.6,.434,.404,.766,batumni01
34,Damion Baugh,Projected,4.8,12.8,1.5,5.5,1.7,2.0,1.5,5.5,5.0,1.4,0.4,2.7,2.3,12.7,.375,.265,.826,baughda01
35,Bradley Beal,Projected,7.5,15.1,2.1,5.3,2.5,3.0,0.9,4.2,4.6,1.1,0.6,2.4,2.8,19.5,.497,.391,.808,bealbr01
36,Malik Beasley,Projected,6.4,15.0,4.3,10.6,1.2,1.7,0.7,4.0,2.1,1.1,0.1,1.2,2.1,18.4,.430,.408,.695,beaslma01
37,MarJon Beauchamp,Projected,5.5,12.1,2.0,5.5,2.0,2.7,1.7,7.0,2.5,0.9,0.4,2.2,3.2,15.1,.456,.369,.744,beaucma01
38,Reece Beekman,Projected,3.7,9.5,0.9,3.7,1.6,2.1,1.2,4.0,4.7,2.2,0.3,1.7,2.7,9.9,.386,.254,.774,beekmre01
39,Goga Bitadze,Projected,5.2,8.8,0.2,1.1,2.2,3.3,4.0,11.1,3.4,1.2,2.4,1.8,3.8,12.9,.594,.223,.654,bitadgo01
40,Bismack Biyombo,Projected,4.4,8.0,0.3,0.7,1.1,2.3,2.8,9.7,2.5,0.9,1.7,1.9,3.8,10.2,.550,.360,.489,biyombi01
41,Anthony Black,Projected,4.9,11.0,1.3,3.6,2.6,3.5,1.1,4.6,4.3,1.5,0.9,2.4,3.1,13.6,.444,.347,.748,blackan01
42,Bogdan Bogdanović,Projected,6.2,14.6,3.1,8.4,1.9,2.1,0.7,4.2,3.8,1.2,0.4,1.8,3.0,17.5,.426,.367,.886,bogdabo01
43,Bol Bol,Projected,7.1,13.1,1.9,5.3,1.8,2.3,1.8,8.9,2.0,0.8,1.8,1.9,2.3,17.8,.542,.354,.775,bolbo01
44,Adem Bona,Projected,5.6,8.6,0.3,0.9,2.7,3.9,3.4,9.5,1.6,1.1,2.5,2.3,4.5,14.3,.657,.356,.695,bonaad01
45,Devin Booker,Projected,8.7,18.5,2.3,6.7,5.6,6.3,1.0,4.2,6.7,0.9,0.3,2.8,2.7,25.3,.471,.341,.886,bookede01
46,Brandon Boston Jr.,Projected,6.3,14.2,1.8,5.1,2.5,3.2,1.2,5.2,3.2,1.7,0.4,2.0,2.8,16.9,.442,.349,.779,bostobr01
47,Chris Boucher,Projected,6.7,13.8,2.3,6.6,3.0,3.9,2.9,9.3,1.5,1.0,1.1,1.3,3.1,18.8,.488,.349,.772,bouchch01
48,Jamaree Bouyea,Projected,5.2,11.2,1.4,4.4,2.0,2.7,1.3,5.8,4.3,1.3,0.7,2.8,2.6,13.7,.460,.310,.748,bouyeja01
49,Tony Bradley,Projected,7.4,13.7,1.4,3.7,1.8,2.7,3.3,9.4,3.1,1.0,1.6,1.9,3.1,18.0,.541,.364,.662,bradlto01
50,Malaki Branham,Projected,6.6,14.5,2.3,6.2,1.7,2.0,0.7,4.1,3.5,0.8,0.2,2.2,2.3,17.2,.456,.370,.838,branhma01
51,Christian Braun,Projected,6.1,10.9,1.3,3.2,2.3,2.9,1.4,5.9,2.8,1.1,0.6,1.1,2.5,15.7,.554,.397,.794,braunch01
52,Jalen Bridges,Projected,5.7,12.5,2.1,6.0,2.7,3.5,1.4,6.4,3.4,1.1,0.6,2.5,2.3,16.3,.457,.351,.779,bridgja01
